Entity,Day,Death_rate_weekly_of_unvaccinated_people_United_States_by_age,Death_rate_weekly_of_fully_vaccinated_people_without_bivalent_booster_United_States_by_age,Death_rate_weekly_of_fully_vaccinated_people_with_bivalent_booster_United_States_by_age
18-29,2022-05-28,0.03812812,0.014629736,0.0
18-29,2022-06-04,0.02547774,0.014613708,0.0
18-29,2022-06-11,0.025544832,0.014598391,0.0
18-29,2022-06-18,0.07682866,0.007292477,0.0
18-29,2022-06-25,0.115516834,0.007284838,0.0
18-29,2022-07-02,0.09006294,0.0145551,0.0
18-29,2022-07-09,0.03867539,0.007270903,0.0
18-29,2022-07-16,0.1033959,0.02179269,0.0
18-29,2022-07-23,0.07774817,0.014516691,0.0
18-29,2022-07-30,0.038966298,0.0,0.0
18-29,2022-08-06,0.065100595,0.007245227,0.0
18-29,2022-08-13,0.0783121,0.014478171,0.0
18-29,2022-08-20,0.065411724,0.021698331,0.0
18-29,2022-08-27,0.06554916,0.0,0.0
18-29,2022-09-03,0.05254121,0.0,0.0
18-29,2022-09-10,0.06576471,0.02164365,0.0
18-29,2022-09-17,0.039516095,0.021628514,0.0
18-29,2022-09-24,0.02689496,0.00743313,0.0
18-29,2022-10-01,0.013207106,0.007235584,0.0
18-29,2022-10-08,0.052890196,0.00726448,0.0
18-29,2022-10-15,0.06618657,0.014596903,0.0
18-29,2022-10-22,0.026505828,0.0,0.0
18-29,2022-10-29,0.013268499,0.007374622,0.0
18-29,2022-11-05,0.053130463,0.007415713,0.0
18-29,2022-11-12,0.06648217,0.014913471,0.0
18-29,2022-11-19,0.05324372,0.007494109,0.0
18-29,2022-11-26,0.013322297,0.015063858,0.0
18-29,2022-12-03,0.05332084,0.022696227,0.0
18-29,2022-12-10,0.10676946,0.007597988,0.0
18-29,2022-12-17,0.05344286,0.030471968,0.0
18-29,2022-12-24,0.013375482,0.022924362,0.090391316
18-29,2022-12-31,0.08032667,0.015333271,0.0
18-29,2023-01-07,0.06700256,0.0153855,0.0
18-29,2023-01-14,0.026830874,0.007708209,0.0
18-29,2023-01-21,0.0,0.015448218,0.0
18-29,2023-01-28,0.040323306,0.015481496,0.0
18-29,2023-02-04,0.053806208,0.0,0.0
18-29,2023-02-11,0.04038702,0.007760596,0.070067756
18-29,2023-02-18,0.0,0.015535178,0.0
18-29,2023-02-25,0.0,0.023318695,0.0
18-29,2023-03-04,0.040472016,0.007777273,0.0
18-29,2023-03-11,0.04050364,0.00778117,0.0
18-29,2023-03-18,0.013511418,0.007784931,0.0
18-29,2023-03-25,0.013522089,0.007788755,0.0
18-29,2023-04-01,0.0,0.007792348,0.0
30-49,2021-10-09,2.9438274,0.081449494,0.0
30-49,2021-10-16,2.3130639,0.075634666,0.0
30-49,2021-10-23,1.9599855,0.07938617,0.0
30-49,2021-10-30,1.7493716,0.06934194,0.0
30-49,2021-11-06,1.8945755,0.09164102,0.0
30-49,2021-11-13,2.0341797,0.08636601,0.0
30-49,2021-11-20,2.218714,0.13087034,0.0
30-49,2021-11-27,2.308134,0.05380831,0.0
30-49,2021-12-04,2.6338756,0.12478637,0.0
30-49,2021-12-11,2.8587584,0.09307116,0.0
30-49,2021-12-18,2.7313647,0.123527505,0.0
30-49,2021-12-25,2.6197407,0.10526829,0.0
30-49,2022-01-01,3.491344,0.28800538,0.0
30-49,2022-01-08,3.9684741,0.41917843,0.0
30-49,2022-01-15,3.0713527,0.36386502,0.0
30-49,2022-01-22,2.8204362,0.387077,0.0
30-49,2022-01-29,2.436931,0.32389787,0.0
30-49,2022-02-05,1.5357021,0.24918781,0.0
30-49,2022-02-12,1.0601836,0.1424977,0.0
30-49,2022-02-19,0.79035056,0.11358477,0.0
30-49,2022-02-26,0.58019406,0.032346703,0.0
30-49,2022-03-05,0.38877037,0.040318,0.0
30-49,2022-03-12,0.3469899,0.03620283,0.0
30-49,2022-03-19,0.25031638,0.024088971,0.0
30-49,2022-03-26,0.1856906,0.012025774,0.0
30-49,2022-04-02,0.120552436,0.01601206,0.0
30-49,2022-04-09,0.120913774,0.01599394,0.0
30-49,2022-04-16,0.14332518,0.015978301,0.0
30-49,2022-04-23,0.066332184,0.023947438,0.0
30-49,2022-04-30,0.18840978,0.04785766,0.0
30-49,2022-05-07,0.11110324,0.01992709,0.0
30-49,2022-05-14,0.17818467,0.03584493,0.0
30-49,2022-05-21,0.16745749,0.03582082,0.0
30-49,2022-05-28,0.20144345,0.06761943,0.0
30-49,2022-06-04,0.17941037,0.047701567,0.0
30-49,2022-06-11,0.16855976,0.043699924,0.0
30-49,2022-06-18,0.14638758,0.079412736,0.0
30-49,2022-06-25,0.2933486,0.027778523,0.0
30-49,2022-07-02,0.24871497,0.047594015,0.0
30-49,2022-07-09,0.22647643,0.09910517,0.0
30-49,2022-07-16,0.2836999,0.10698267,0.0
30-49,2022-07-23,0.34122387,0.0990159,0.0
30-49,2022-07-30,0.31915674,0.059380777,0.0
30-49,2022-08-06,0.28554136,0.08309263,0.0
30-49,2022-08-13,0.2632229,0.047460683,0.0
30-49,2022-08-20,0.30958262,0.08302072,0.0
30-49,2022-08-27,0.29861495,0.059274774,0.0
30-49,2022-09-03,0.1955504,0.05530136,0.0
30-49,2022-09-10,0.29940885,0.06712601,0.0
30-49,2022-09-17,0.14991829,0.02763035,0.0
30-49,2022-09-24,0.11781537,0.028368203,0.0
30-49,2022-10-01,0.16196717,0.059753675,0.0
30-49,2022-10-08,0.22017191,0.05222167,0.0
30-49,2022-10-15,0.1857132,0.024327654,0.0
30-49,2022-10-22,0.20930305,0.028660893,0.0
30-49,2022-10-29,0.19802198,0.028950393,0.0
30-49,2022-11-05,0.18669218,0.050143424,0.0
30-49,2022-11-12,0.16360314,0.050665744,0.0
30-49,2022-11-19,0.2574481,0.012789561,0.0
30-49,2022-11-26,0.21089205,0.055934884,0.0
30-49,2022-12-03,0.24625547,0.04336798,0.036299117
30-49,2022-12-10,0.30527863,0.061114043,0.0
30-49,2022-12-17,0.24688141,0.07012792,0.032743834
30-49,2022-12-24,0.2942894,0.06168958,0.031210918
30-49,2022-12-31,0.30639514,0.09303475,0.029806072
30-49,2023-01-07,0.2713218,0.08455233,0.05744604
30-49,2023-01-14,0.21259046,0.057993267,0.028126571
30-49,2023-01-21,0.21281832,0.03578013,0.0
30-49,2023-01-28,0.17750403,0.026916243,0.02689007
30-49,2023-02-04,0.14211747,0.03147245,0.0
30-49,2023-02-11,0.14224507,0.045034554,0.02609224
30-49,2023-02-18,0.118627846,0.018038336,0.0516256
30-49,2023-02-25,0.08310087,0.013544309,0.02557096
30-49,2023-03-04,0.083162464,0.022595478,0.050746106
30-49,2023-03-11,0.14267015,0.022614667,0.0
30-49,2023-03-18,0.05948893,0.02715845,0.0
30-49,2023-03-25,0.05953446,0.01811911,0.0
30-49,2023-04-01,0.071492806,0.009065814,0.024738839
05-Nov,2021-12-11,0.019668758,0.0,0.0
05-Nov,2021-12-18,0.020097421,0.0,0.0
05-Nov,2021-12-25,0.010272096,0.0,0.0
05-Nov,2022-01-01,0.010441769,0.0,0.0
05-Nov,2022-01-08,0.010107365,0.0,0.0
05-Nov,2022-01-15,0.020649327,0.0,0.0
05-Nov,2022-01-22,0.010517629,0.0,0.0
05-Nov,2022-01-29,0.021336103,0.0,0.0
05-Nov,2022-02-05,0.021589357,0.0,0.0
05-Nov,2022-02-12,0.010893126,0.0,0.0
05-Nov,2022-02-19,0.0,0.0,0.0
05-Nov,2022-02-26,0.0,0.0,0.0
05-Nov,2022-03-05,0.0,0.0,0.0
05-Nov,2022-03-12,0.011138693,0.0,0.0
05-Nov,2022-03-19,0.011176609,0.0,0.0
05-Nov,2022-03-26,0.011213539,0.0,0.0
05-Nov,2022-04-02,0.0,0.0,0.0
05-Nov,2022-04-09,0.011306562,0.0,0.0
05-Nov,2022-04-16,0.011333807,0.0,0.0
05-Nov,2022-04-23,0.011356397,0.0,0.0
05-Nov,2022-04-30,0.0113764,0.0,0.0
05-Nov,2022-05-07,0.0,0.0,0.0
05-Nov,2022-05-14,0.011414776,0.0,0.0
05-Nov,2022-05-21,0.0,0.0,0.0
05-Nov,2022-05-28,0.011463213,0.0,0.0
05-Nov,2022-06-04,0.0,0.0,0.0
05-Nov,2022-06-11,0.011513128,0.0,0.0
05-Nov,2022-06-18,0.0,0.0,0.0
05-Nov,2022-06-25,0.034681857,0.0,0.0
05-Nov,2022-07-02,0.0,0.0,0.0
05-Nov,2022-07-09,0.0232203,0.0,0.0
05-Nov,2022-07-16,0.0,0.0,0.0
05-Nov,2022-07-23,0.011673537,0.0,0.0
05-Nov,2022-07-30,0.011709555,0.0,0.0
05-Nov,2022-08-06,0.0,0.0,0.0
05-Nov,2022-08-13,0.01178248,0.0,0.0
05-Nov,2022-08-20,0.0,0.0,0.0
05-Nov,2022-08-27,0.0,0.0,0.0
05-Nov,2022-09-03,0.0,0.0,0.0
05-Nov,2022-09-10,0.0,0.0,0.0
05-Nov,2022-09-17,0.0,0.0,0.0
05-Nov,2022-09-24,0.012239207,0.029055443,0.0
05-Nov,2022-10-01,0.0,0.0,0.0
05-Nov,2022-10-08,0.0,0.0,0.0
05-Nov,2022-10-15,0.0,0.0,0.0
05-Nov,2022-10-22,0.0,0.0,0.0
05-Nov,2022-10-29,0.0,0.0,0.0
05-Nov,2022-11-05,0.0,0.0,0.0
05-Nov,2022-11-12,0.0,0.0,0.0
05-Nov,2022-11-19,0.011994537,0.0,0.0
05-Nov,2022-11-26,0.0,0.0,0.0
05-Nov,2022-12-03,0.024018522,0.0,0.0
05-Nov,2022-12-10,0.0,0.0,0.0
05-Nov,2022-12-17,0.0,0.0,0.0
05-Nov,2022-12-24,0.024064485,0.0,0.0
05-Nov,2022-12-31,0.0,0.0,0.0
05-Nov,2023-01-07,0.0,0.0,0.0
05-Nov,2023-01-14,0.012051462,0.0,0.0
05-Nov,2023-01-21,0.0,0.0,0.0
05-Nov,2023-01-28,0.0,0.030751394,0.0
05-Nov,2023-02-04,0.0,0.0,0.0
05-Nov,2023-02-11,0.012075101,0.0,0.0
05-Nov,2023-02-18,0.012079593,0.0,0.0
05-Nov,2023-02-25,0.012083972,0.0,0.0
05-Nov,2023-03-04,0.0,0.0,0.0
05-Nov,2023-03-11,0.0,0.031160073,0.0
05-Nov,2023-03-18,0.0,0.0,0.0
05-Nov,2023-03-25,0.0,0.0,0.0
05-Nov,2023-04-01,0.012104624,0.0,0.0
50-64,2021-10-09,12.614386,0.53639126,0.0
50-64,2021-10-16,11.586847,0.5266839,0.0
50-64,2021-10-23,9.551845,0.41942206,0.0
50-64,2021-10-30,8.708071,0.29778692,0.0
50-64,2021-11-06,9.726661,0.43088984,0.0
50-64,2021-11-13,10.538481,0.5412981,0.0
50-64,2021-11-20,12.299269,0.6081512,0.0
50-64,2021-11-27,12.500496,0.68538684,0.0
50-64,2021-12-04,15.801051,0.7090678,0.0
50-64,2021-12-11,16.299929,0.7274819,0.0
50-64,2021-12-18,15.804511,0.68307,0.0
50-64,2021-12-25,15.289325,0.8999855,0.0
50-64,2022-01-01,19.161724,1.7361732,0.0
50-64,2022-01-08,23.963669,2.4808722,0.0
50-64,2022-01-15,20.539154,2.3260303,0.0
50-64,2022-01-22,18.631697,2.1517746,0.0
50-64,2022-01-29,17.87922,1.8604624,0.0
50-64,2022-02-05,12.849716,1.2129551,0.0
50-64,2022-02-12,9.692241,0.82828426,0.0
50-64,2022-02-19,7.1185565,0.5722441,0.0
50-64,2022-02-26,3.9172864,0.41499814,0.0
50-64,2022-03-05,3.0177226,0.30712712,0.0
50-64,2022-03-12,1.6969743,0.19476579,0.0
50-64,2022-03-19,1.379647,0.10701687,0.0
50-64,2022-03-26,0.99141717,0.102072656,0.0
50-64,2022-04-02,0.7166671,0.097145304,0.0
50-64,2022-04-09,0.7889851,0.06796162,0.0
50-64,2022-04-16,0.90861994,0.1067179,0.0
50-64,2022-04-23,0.5845852,0.092054605,0.0
50-64,2022-04-30,0.4457905,0.12098514,0.0
50-64,2022-05-07,0.7997318,0.125695,0.0
50-64,2022-05-14,0.8958627,0.21251118,0.0
50-64,2022-05-21,0.8980048,0.23644039,0.0
50-64,2022-05-28,0.97143686,0.18319942,0.0
50-64,2022-06-04,0.9971343,0.26490292,0.0
50-64,2022-06-11,1.0707506,0.21652827,0.0
50-64,2022-06-18,1.2637331,0.2981064,0.0
50-64,2022-06-25,1.1705811,0.27866364,0.0
50-64,2022-07-02,1.3403552,0.24486762,0.0
50-64,2022-07-09,1.3665853,0.32629532,0.0
50-64,2022-07-16,1.4897796,0.38846865,0.0
50-64,2022-07-23,1.8794097,0.40266305,0.0
50-64,2022-07-30,1.4251599,0.3161586,0.0
50-64,2022-08-06,1.5007396,0.33503914,0.0
50-64,2022-08-13,1.9642638,0.38263813,0.0
50-64,2022-08-20,1.6760361,0.23423855,0.0
50-64,2022-08-27,1.4352161,0.34402964,0.0
50-64,2022-09-03,1.5588064,0.27702764,0.0
50-64,2022-09-10,1.5354831,0.2912603,0.0
50-64,2022-09-17,1.3176024,0.28640878,0.0
50-64,2022-09-24,1.2625389,0.2776258,0.0
50-64,2022-10-01,0.92995566,0.14977886,0.36219287
50-64,2022-10-08,0.78447825,0.23486747,0.18081418
50-64,2022-10-15,1.0806406,0.2285428,0.0
50-64,2022-10-22,1.1567049,0.23241186,0.08137756
50-64,2022-10-29,1.1097847,0.2726932,0.0
50-64,2022-11-05,1.136751,0.2517655,0.050062
50-64,2022-11-12,1.3123437,0.24605002,0.25104603
50-64,2022-11-19,0.9922278,0.26141018,0.14563073
50-64,2022-11-26,1.4660245,0.31511852,0.13143636
50-64,2022-12-03,1.3435004,0.35848913,0.2121994
50-64,2022-12-10,1.6943234,0.36223373,0.17131937
50-64,2022-12-17,1.6466892,0.40487233,0.13711572
50-64,2022-12-24,1.4491594,0.55273956,0.10442934
50-64,2022-12-31,1.8513731,0.3721575,0.27377433
50-64,2023-01-07,1.6285509,0.35177758,0.2635584
50-64,2023-01-14,1.7558645,0.34740812,0.25821954
50-64,2023-01-21,1.2053132,0.31947112,0.2067407
50-64,2023-01-28,0.80425507,0.27366385,0.11213882
50-64,2023-02-04,1.1821682,0.16129526,0.17630808
50-64,2023-02-11,0.8054713,0.1557891,0.17410205
50-64,2023-02-18,0.7555489,0.13214403,0.12926519
50-64,2023-02-25,0.62995976,0.1685309,0.14950971
50-64,2023-03-04,0.32775295,0.12059328,0.042406913
50-64,2023-03-11,0.5296866,0.07850544,0.0421437
50-64,2023-03-18,0.42898807,0.05442771,0.06284798
50-64,2023-03-25,0.37869173,0.06661269,0.14584297
50-64,2023-04-01,0.30307642,0.048504952,0.08293141
65-79,2021-10-09,52.500248,2.0506582,0.0
65-79,2021-10-16,49.242218,1.9093417,0.0
65-79,2021-10-23,41.99786,1.813456,0.0
65-79,2021-10-30,40.23276,1.7560499,0.0
65-79,2021-11-06,43.197426,1.844534,0.0
65-79,2021-11-13,45.98169,2.0023427,0.0
65-79,2021-11-20,60.48399,2.2459226,0.0
65-79,2021-11-27,56.166607,2.4400816,0.0
65-79,2021-12-04,77.98724,2.8126483,0.0
65-79,2021-12-11,78.40252,2.7274995,0.0
65-79,2021-12-18,77.29693,2.408954,0.0
65-79,2021-12-25,74.18867,2.9719238,0.0
65-79,2022-01-01,100.81478,5.740602,0.0
65-79,2022-01-08,132.19115,8.402469,0.0
65-79,2022-01-15,125.58621,8.846744,0.0
65-79,2022-01-22,126.477455,7.934388,0.0
65-79,2022-01-29,114.52176,6.3297677,0.0
65-79,2022-02-05,86.42352,4.9704905,0.0
65-79,2022-02-12,66.12169,3.4015372,0.0
65-79,2022-02-19,42.655273,2.4807417,0.0
65-79,2022-02-26,29.921385,1.5816941,0.0
65-79,2022-03-05,20.26756,1.0493056,0.0
65-79,2022-03-12,10.782498,0.7301154,0.0
65-79,2022-03-19,9.10157,0.5639134,0.0
65-79,2022-03-26,6.8201184,0.351479,0.0
65-79,2022-04-02,4.457705,0.42428085,0.0
65-79,2022-04-09,3.9609106,0.37774733,0.0
65-79,2022-04-16,4.438125,0.36426905,0.0
65-79,2022-04-23,3.4035108,0.44258496,0.0
65-79,2022-04-30,5.0160584,0.4875233,0.0
65-79,2022-05-07,4.6558733,0.7625937,0.0
65-79,2022-05-14,5.9775605,0.9056309,0.0
65-79,2022-05-21,6.54032,0.8190179,0.0
65-79,2022-05-28,7.3405175,0.9094161,0.0
65-79,2022-06-04,8.445254,0.9342123,0.0
65-79,2022-06-11,6.994145,1.1611284,0.0
65-79,2022-06-18,8.649159,1.1013765,0.0
65-79,2022-06-25,8.670103,1.1459082,0.0
65-79,2022-07-02,11.193557,1.4117393,0.0
65-79,2022-07-09,11.449134,1.5473104,0.0
65-79,2022-07-16,12.423097,1.637356,0.0
65-79,2022-07-23,11.837125,1.6820295,0.0
65-79,2022-07-30,12.825794,1.615866,0.0
65-79,2022-08-06,13.016559,1.5753393,0.0
65-79,2022-08-13,12.167959,1.6451951,0.0
65-79,2022-08-20,12.667066,1.4305766,0.0
65-79,2022-08-27,11.489854,1.3264006,0.0
65-79,2022-09-03,10.625187,1.3905704,0.0
65-79,2022-09-10,9.031455,1.2414286,0.0
65-79,2022-09-17,8.637805,1.1570807,0.0
65-79,2022-09-24,8.825839,0.95650077,0.0
65-79,2022-10-01,8.734208,1.0368465,0.4395894
65-79,2022-10-08,7.9414887,1.171897,0.33236098
65-79,2022-10-15,8.191622,1.0345001,0.3508553
65-79,2022-10-22,8.120592,1.2431141,0.56072325
65-79,2022-10-29,10.062187,1.355038,0.23895785
65-79,2022-11-05,9.590435,1.3339074,0.49239075
65-79,2022-11-12,10.2461605,1.3571512,0.2810413
65-79,2022-11-19,10.492292,1.3413807,0.77607214
65-79,2022-11-26,11.786477,1.7301142,0.6467699
65-79,2022-12-03,15.179105,2.1127048,0.7801808
65-79,2022-12-10,15.182181,1.9512599,0.9956994
65-79,2022-12-17,13.570103,2.0100055,0.8636281
65-79,2022-12-24,14.543037,2.121515,0.94650286
65-79,2022-12-31,15.271657,2.327308,1.0052861
65-79,2023-01-07,11.960362,2.0207317,0.8329356
65-79,2023-01-14,11.719864,1.6121633,0.71497107
65-79,2023-01-21,8.164508,1.2753379,0.65159833
65-79,2023-01-28,7.19552,1.125089,0.43223363
65-79,2023-02-04,6.872943,1.02704,0.39257917
65-79,2023-02-11,6.0650234,0.94541544,0.524283
65-79,2023-02-18,4.124603,0.9772429,0.5038252
65-79,2023-02-25,5.6618237,0.6917428,0.55084914
65-79,2023-03-04,5.5815096,0.7704687,0.49819
65-79,2023-03-11,4.773047,0.5114339,0.3803543
65-79,2023-03-18,3.4789906,0.45437908,0.28001362
65-79,2023-03-25,3.1555524,0.43582755,0.27894738
65-79,2023-04-01,1.9420277,0.36861232,0.3107266
80+,2021-10-09,66.54126,9.092505,0.0
80+,2021-10-16,60.961258,8.877298,0.0
80+,2021-10-23,51.69907,7.7612805,0.0
80+,2021-10-30,56.991783,8.198571,0.0
80+,2021-11-06,58.531963,9.273935,0.0
80+,2021-11-13,68.91384,10.429624,0.0
80+,2021-11-20,79.55699,11.16933,0.0
80+,2021-11-27,78.16471,9.940836,0.0
80+,2021-12-04,101.42583,11.469361,0.0
80+,2021-12-11,114.09622,9.881654,0.0
80+,2021-12-18,89.627266,9.158566,0.0
80+,2021-12-25,112.849884,9.886021,0.0
80+,2022-01-01,168.87584,24.40316,0.0
80+,2022-01-08,233.36174,35.198757,0.0
80+,2022-01-15,247.40009,39.40205,0.0
80+,2022-01-22,233.77908,35.94153,0.0
80+,2022-01-29,211.85858,29.007635,0.0
80+,2022-02-05,158.07355,19.296425,0.0
80+,2022-02-12,120.76868,13.245842,0.0
80+,2022-02-19,72.45286,8.636046,0.0
80+,2022-02-26,51.995754,6.4260736,0.0
80+,2022-03-05,33.296177,4.453271,0.0
80+,2022-03-12,23.932085,2.6472287,0.0
